
Created stats file	-> dumps\pt_20221201_002531\stats.csv

TRAINING 200 EPOCHS...

     epoch train_loss  train_acc   train_f1   val_loss    val_acc     val_f1
       156   0.261299     0.9135    0.91349   0.017064   0.994132   0.994123
       157   0.279836    0.91182   0.911575   0.014122   0.996647   0.996648
       158    0.30584   0.904682    0.90464    0.03094   0.993294   0.993266
       159   0.283815   0.910771   0.910788   0.022406   0.994971   0.994965
       160   0.289144   0.906571    0.90654   0.021112   0.991618    0.99163
       161   0.275822   0.905522   0.905368   0.031516    0.99078   0.990805
       162   0.296245   0.908251   0.908078   0.027471   0.992456   0.992483
       163   0.293115   0.908041   0.907863    0.02528   0.991618   0.991603
       164   0.275939   0.903422   0.903386   0.026827   0.992456   0.992452
       165   0.291293   0.905102   0.905147   0.014572   0.995809   0.995803
       166   0.273676   0.905522   0.905412   0.024855   0.995809   0.995804
       167   0.285059   0.908461    0.90835   0.021756   0.996647   0.996647
       168   0.263674    0.91098   0.910736   0.019226   0.994132   0.994142
       169   0.288507   0.906991   0.906959   0.020017   0.989103   0.989161
       170    0.29764   0.901953   0.901991     0.0317    0.99078   0.990728
       171   0.269772    0.91098   0.910967   0.035794    0.98575    0.98576
       172   0.285716   0.910141    0.91009   0.017969   0.994132   0.994123
       173   0.285804   0.903632   0.903391   0.019757   0.994971   0.994964
       174   0.310336   0.899013   0.898973   0.022601   0.988265   0.988199
       175   0.283693   0.908251   0.908215   0.023704   0.993294   0.993282
       176   0.297626   0.904262   0.904235   0.018934   0.996647   0.996642
       177   0.304736   0.902582   0.902499   0.016008   0.996647   0.996646
       178   0.271249   0.909091   0.909037   0.020993   0.992456   0.992469
       179   0.270284   0.909721   0.909678   0.014165   0.997485   0.997486
       180   0.270917   0.909931     0.9099   0.014543   0.996647   0.996645
       181   0.284006   0.905732   0.905774   0.024114   0.992456   0.992439
       182   0.303813   0.899433   0.899384   0.019315    0.99078   0.990808
       183   0.309947   0.905312   0.905203   0.015585   0.996647   0.996645
       184    0.28252   0.907201   0.907087   0.017427   0.996647   0.996645
       185    0.29197   0.906991   0.907008   0.021668   0.993294   0.993282
       186   0.278393   0.908251   0.908111    0.02642   0.992456   0.992462
       187   0.282225   0.906362   0.906428   0.021455   0.995809   0.995804
       188   0.265629    0.91224   0.912122   0.028292   0.989941   0.989985
       189    0.27797    0.91098   0.910923   0.021844   0.989103   0.989163
       190   0.309823   0.896284   0.896124   0.020485   0.994132   0.994129
       191    0.29165   0.906152   0.906174   0.030217   0.991618   0.991596
       192   0.255556    0.91308   0.913082   0.020379   0.992456   0.992469
       193   0.284841   0.908461   0.908343   0.017406   0.996647   0.996645
       194   0.282533   0.910351   0.910163   0.020513   0.994971   0.994969
       195   0.293861   0.906991   0.906883   0.028996   0.986588   0.986717
       196    0.29491   0.905312   0.905332   0.016634   0.997485   0.997483
       197   0.301396   0.901533    0.90148    0.03902   0.984074   0.984268
       198   0.286882   0.908881   0.908709   0.017286   0.995809   0.995804
       199   0.286621   0.909931   0.909934   0.016733   0.997485   0.997485

Training completed in 95m 19s

Saved best checkpoint	-> models\pt_20221201_002531_0.997485.pth
